mineral_consumption,GDP_growth,mineral_exports,mineral_imports,renewable_energy_percent,recycling_rate,iot_sensors_used,carbon_emissions,sustainable_solution
32.53263199,81.51099655,36.75367958,7.488777211,70.21992095,51.83898389,60.22795854,83.48733151,Success
68.6309783,59.75818518,48.5271818,26.05125647,41.07121911,48.39924985,46.41065497,73.75538579,Failure
46.47160023,54.62322986,44.86603374,48.15192028,64.58098498,61.16250609,45.91770489,68.88769897,Success
47.4084024,39.6539292,58.78689887,41.60254484,70.56090138,52.92350651,57.59147078,59.08519579,Success
35.50282858,50.93148255,52.43890984,48.31820864,53.47211515,41.50652018,61.10051039,38.54600957,Failure
47.14614802,49.18566372,52.75985226,36.01340092,57.24233924,46.37301122,59.50590322,50.28514018,Failure
56.85366751,47.65028479,54.1591108,58.50864758,49.16762136,49.742421,45.88240726,75.2432735,Success
59.45130552,37.66067509,39.12085,52.18722439,77.14592955,85.50400424,35.37561511,44.93828044,Failure
42.33641589,63.10456393,56.25329955,44.69135065,35.54872876,35.92540498,47.73744997,45.80005148,Success
58.55787685,31.49874098,48.66647126,67.24792397,56.57718805,60.62383596,49.02389508,43.11761745,Failure
36.25674359,49.86718336,64.87421421,56.4877346,65.09394938,55.26774656,36.86911628,54.97263288,Success
58.41263677,72.06056968,47.37134093,16.21549219,50.10418726,49.42028579,45.71918138,90.0894047,Success
65.05436869,33.9463172,89.1246754,56.71015536,22.45617504,19.4202138,46.74651235,49.85349804,Failure
54.70564245,28.94942962,47.42702195,62.68698749,77.73201397,74.51692684,46.19780867,50.78725033,Failure
9.437851114,80.12977871,48.08319448,34.85415427,51.31971696,36.97995041,54.91881984,28.00258767,Success
10.81621585,88.92015442,43.79665848,19.61801715,59.39063134,43.17278262,52.59980143,44.95191305,Success
67.263847,37.8644612,56.35722172,37.35968885,46.00623391,40.1695753,64.34157122,59.81633882,Failure
71.63480802,39.73322006,72.55332352,57.52400699,27.73227904,35.92288699,39.49345827,62.55608421,Failure
21.48659683,72.8998078,52.98749367,73.5366885,36.72378241,28.95197907,50.15286261,75.35048339,Success
25.28117451,67.48892376,48.55474804,51.22073977,38.41092789,37.68831792,50.68347563,20.85439543,Success
48.52425315,40.02415056,65.22641879,42.64901735,70.45584579,59.02709596,42.84318053,50.52784279,Success
58.63288893,37.86630258,62.94375781,58.22836175,30.7262629,31.0940652,57.94090856,39.23106705,Failure
66.67324291,10.64963883,2.977852684,67.64980517,77.46242587,73.04601924,100,39.21267662,Failure
45.30853538,44.20488573,54.20198421,53.59423064,61.01514093,45.31959559,61.7578128,71.65371125,Success
39.50426326,36.15346871,76.94710928,71.94694683,56.08222529,38.58743654,48.30745648,61.53819459,Success
59.04698629,32.19404603,58.56447065,22.27674113,49.48810568,18.55868273,99.4988607,59.95491043,Failure
34.05731768,88.82757791,35.13796236,32.28567819,42.96244214,53.79137815,34.51483504,54.58591621,Success
65.40089356,43.08085884,60.21100002,76.35205795,32.50362108,48.24063351,32.10175065,65.71828666,Failure
59.06351206,32.98338522,85.12981086,46.31279906,41.69540524,26.48483017,54.65304695,57.12736011,Failure
53.02206994,42.25438567,67.01411951,54.1728939,50.31723335,43.10435022,47.44972283,62.70575908,Success
38.13948147,53.50198298,55.81697353,38.93696034,53.82729846,30.88334802,72.43696743,67.33609399,Success
47.61988806,46.71866611,47.07957202,79.93001134,43.29649215,52.54007294,42.33701612,50.56312206,Failure
18.43503404,74.35408511,55.79202285,49.80135145,54.15154835,30.84407847,58.36556847,85.96910844,Success
52.38358908,51.33073029,53.60405177,44.72282128,44.66250276,35.39355529,63.2798959,72.21574358,Failure
37.55234348,77.31697953,53.6146652,40.13761592,36.11005559,41.80655757,34.84365654,52.91223068,Success
60.99184757,31.92255158,80.66729751,58.61685383,36.15298416,28.82829138,50.9719978,54.50546093,Failure
70.44722003,38.93842469,59.55586653,70.86601186,29.19935688,42.97582349,41.28691384,62.86592502,Failure
21.23733852,65.5151346,60.59801785,69.19461284,43.2974992,22.4508655,60.79401299,84.34450742,Success
64.28487877,27.73912729,36.45555205,62.51558551,48.11404058,51.39463998,71.04883166,36.51240874,Failure
48.59775126,43.6754865,47.75182534,60.3398184,60.41623178,51.90443008,57.74477231,71.53177581,Success
63.47392258,20.06839936,51.84616833,60.19151732,75.79812094,72.49805953,49.35811794,46.91763635,Failure
23.69190901,72.7816988,67.84161313,45.54142364,33.59297971,29.25058077,38.84931682,30.15292854,Success
43.8946675,45.29618665,82.10063696,64.01540959,18.87882901,16.35212961,47.48564608,25.19861475,Success
63.98547984,35.66552705,63.95261962,57.68408539,59.2824357,65.13075667,29.20436241,56.47694214,Failure
60.95011934,37.97444784,62.82807157,50.67920844,31.4019506,30.64834422,60.25791769,38.38241049,Failure
56.60923577,38.05792762,83.14808722,49.19304706,32.48613116,21.46268313,54.36039287,51.39642813,Failure
64.06142502,42.15161993,65.89380253,47.82791324,34.3309717,31.44294464,55.92119741,63.4156085,Failure
54.03028014,38.87941046,50.97058881,47.48609056,62.84700981,50.06868799,63.67719873,67.19915834,Success
58.83294235,36.88875373,40.87300978,56.31968051,69.43463254,73.14056737,45.62276229,52.82467249,Failure
50.96078054,38.11914996,64.32931944,40.15477582,46.57657026,22.41184228,80.5897792,61.62661751,Failure
43.11334674,47.97431925,49.17397944,82.8786135,39.78271775,37.03316455,57.94429875,71.98458388,Success
39.4223158,36.58917452,81.75889009,65.2694318,60.60503468,34.99325942,52.13018713,76.27383221,Success
55.38320893,41.67705472,82.98850334,40.26134472,32.76384243,17.28643559,59.64782314,55.80955459,Failure
41.17220343,52.59617643,46.47855991,51.80263586,65.74820203,62.1588122,44.40174063,53.9468282,Success
37.10602136,62.75179017,78.01398316,64.37812143,14.42111721,23.18858988,28.95267753,24.53882451,Success
32.39749811,54.51639996,46.12563904,44.84746856,56.85326798,40.51642196,68.79859976,46.91736532,Success
46.56440073,61.39663055,56.37256091,29.01069729,43.22605089,36.085227,55.58060656,54.13103293,Success
68.1734666,23.45742154,61.37582972,40.41473951,76.94604655,66.06174677,51.01662515,61.5518669,Failure
41.65172239,58.88909755,36.46770261,69.04836267,53.38891623,62.98135611,38.71396117,57.10017333,Success
56.12071358,37.61040752,64.97283434,26.61092737,35.47593022,9.314970285,93.73515706,51.83580553,Failure
36.37388798,60.42994173,31.5461817,43.32551637,56.41395591,49.77666528,66.44303012,48.20625993,Success
6.661471837,93.90356285,39.77176251,34.25060625,47.16820462,41.86973283,45.51793485,32.60260779,Success
56.24281698,28.62495268,63.8210867,56.90877441,60.30803313,36.12662845,73.41902464,85.69355199,Success
54.91869627,28.30798184,33.10620029,81.33420384,78.45994241,84.54166937,43.78284026,54.0184119,Failure
50.71745657,61.43101645,29.06215828,32.37551558,57.85446353,54.50436609,64.38372177,70.73378317,Success
65.05726154,23.43419801,59.73917726,53.80080535,64.82568444,62.44247669,48.10853784,42.14325651,Failure
43.07439544,43.91964345,64.91775624,77.77545315,45.71429525,38.46660815,47.99304236,69.53678742,Success
43.83997818,29.0828429,68.70643688,56.83588558,84.93296808,70.45584508,36.86830217,44.7541108,Failure
50.17765576,37.5213118,78.31864814,56.90008913,47.11434418,33.41665524,50.40625098,59.12250142,Failure
41.33741448,62.42223298,68.69517892,51.64376657,24.61671834,27.73080964,39.90548555,37.67455438,Success
46.13428472,49.76487962,51.7767433,50.40054208,58.55896294,48.68477606,55.25261517,69.12854695,Success
33.39034469,45.03046619,61.35225181,57.80393218,70.19369415,47.11746336,56.85183388,70.14259326,Success
67.81981129,31.54625325,66.51914772,70.29656767,49.89555455,64.34880847,22.65643625,47.27423461,Failure
48.08020968,50.06655678,64.04303846,52.06318782,51.04859594,42.71172883,46.87207099,70.28449492,Success
65.98521129,37.59285713,63.06564882,69.77574148,54.07242715,69.44699167,17.91617736,59.06520826,Failure
48.70567127,57.27450231,50.09409898,66.5804137,49.35886159,55.53400429,34.87804749,76.80122751,Success
61.09256334,54.69097406,86.23343085,36.60076126,38.37721701,44.01830636,16.57304683,58.29660073,Failure
41.90478984,65.85071703,62.19227569,40.41403796,35.12376872,34.71786003,42.59813219,48.24923057,Success
41.93324442,60.17495294,42.46572778,40.2770354,47.39081074,44.81833373,58.20060393,44.07055238,Success
77.79231568,26.72137196,68.86540008,44.53350653,27.21343499,22.36187494,70.98866887,54.81905642,Failure
34.64518222,55.20423975,57.09542354,55.1795915,55.44209469,38.13911103,58.60681705,73.83170159,Success
60.22922447,43.71633842,64.45825309,55.10965156,64.19167103,70.88065683,19.44579917,66.3554732,Failure
56.06708472,62.41711535,31.60405267,28.41113304,52.06253838,52.93243569,60.76169128,69.35358609,Success
61.61256927,33.22034452,45.92810196,44.68682449,66.22455923,61.40721367,58.98565091,51.95137996,Failure
24.31918447,61.87629142,63.75959263,59.22138097,56.46089427,38.39091447,47.94840911,71.48174302,Success
51.55178465,26.64659067,28.32328727,57.17654794,75.31644842,64.17562153,79.07654218,41.73729273,Failure
46.81418947,38.77937486,52.49524578,64.09244497,68.26353099,56.0406439,54.62772415,73.09265937,Success
59.08562159,39.05060273,76.76169698,42.45293212,34.9910077,22.09025727,61.52152808,57.38934332,Failure
53.43565845,52.25874431,68.50620848,62.41351427,31.65251703,43.14375013,27.6251964,45.77986161,Failure
45.99751004,54.27582221,41.47676081,37.2426948,72.07487656,64.69578761,50.82420591,64.93972441,Success
53.6037037,42.42726102,55.75641362,56.59619035,53.0604102,46.51471236,54.52715755,67.86658276,Success
56.99241474,30.05573149,49.95228372,56.64522057,67.80190327,63.81731535,52.77938711,46.43493145,Failure
